comment_id,original_comment,detected_aspects,aspect_count,matched_keywords
97,overall puas bangett pake hp ini poco f memang the best,Display,1,bangett
98,kapan give away bang hp saya masih ram gb nih bang,Storage,1,ram
101,kok t pro saya belum bisa genshin fps ya fitur game boosternya belum kebuka,"Features, Performance",2,"game, fitur"
102,t pro aja gapunya chip tambahan kalo mau kek gitu harus ada chip tambahan kayak di iqoo neo atau iqoo seri angka kalo kasusnya poco ini emang beda padahal dia gak ada chip tambahan tapi bisa kalo menurut ku poco f ini fitur fps nya dibebankan di chip s gen nya,Features,1,fitur
103,​​faahmiiichip tambahan di iqoo itu kbnykn buat ai aja bro yg bikin dia bisa fps itu jelas chipset utamanya s gen gw blg gini karena makai iqoo neo sama f,Display,1,utamanya
108,lucu sih di beberapa komunitas karna skor antutunya kurang dari claim brandnya sampek dibawa ke service center,"Display, Connectivity",2,"brandnya, antutunya"
111,bg benar kah suara dari poco f suara speaker atas nya bindeng gak seimbang yang bawah suara lebih besar,Audio,1,seimbang
113,kalo aku kok dpt yg seimbang ya,Audio,1,seimbang
118,tanpa main game bisa berapa lama yah daya tahan baterai nya ada yang tau kah,"Performance, Battery",2,"game, baterai"
120,ini hp klo di cas dalam keadaan mati emg selalu nyala sendiri kah kak jagat atao ada settingannya saya gw nemu soalnya trs nyari tutor nya jg gada gt cara sepaya ttp mati saat pengisian daya,"Network, Performance, Battery",3,"daya, pengisian, settingannya"
123,poco mantapsampe skarang pake x nfc awet allhmdllh pemakain rapih,"Features, Connectivity",2,nfc
124,sangat jelas suka banget kalo jagatriview ngeriviewtpi ternyata infinix murah jga sudah bisa wireless charging kayak smartphone flagship,"Price, Battery",2,"murah, charging"
125,cuma kameran ngga ois video pasti gempa dan prosesor bumi dan langit sama snapdragon ini bisa main game nintendo switch klo helio punya infinix buka loading emulator nya aja nge bug,"Camera, Performance",2,"video, game"
126,gak sampai tiga tahun masalah bateri,Audio,1,bateri
127,update selanjutnya dari poco f kudu dilimit ini bahaya kalau overheat terus terusan keawetan hardware jadi taruhannya,Software,1,update
128,andai aja support wireless charging,Battery,1,charging
129,bisa flip video ga pas lagi recorded video,Camera,1,video
132,resiko body kaca dari zaman dinasti ming juga gitu bro overheat,BuildQuality,1,dinasti
133,dinasti ming,BuildQuality,1,dinasti
135,bantu jawab bang lgi bingung nyari hp allround game efootball doang ambil hp poco x pro atau poco f ini,Performance,1,game
140,sayang banget belum punya bypass charging padahal pendahulunya punya,"Features, Battery",2,"bypass, charging"
141,kamera nya masih jedag jedug tuh,Camera,1,kamera
142,info apakah ada fitur matot nya kah mau ambil f takutnya seperti pendahulu banyakan matot,Features,1,fitur
146,poco f apa ada fitur kalo dicas penuh bakal berhenti otomatis,Features,1,fitur
147,sayangnya gak ada adanya cuma batas charging sampai tapi apa cuma perasaan gw dulu di miui ada ya cmiiw,"Software, Battery",2,"charging, cmiiw"
149,pérmintaan sétélah saya mélihat pérforma gaming poco f yang gahar ini saya jadi ké pikiran gimana jadinya kalau ada chipset khusus g gaminggahargarang seperti sd elite g yang pérformanya jauh lébih buas lagi saya ada konsep singkatnya di sini mungkin ini bisa jadi evolusi bérikutnya di dunia gaming mobile,Performance,1,gahar
150,kedepannya untuk test gaming pake wuthering waves bang sebagai patokan genshin udah terlalu ringan,"Design, Connectivity",2,"ringan, kedepannya"
156,di poco f ku kok gk ada yang namanya smart frame rate ama super resolusi ya,"Display, BuildQuality",2,"resolusi, frame"
158,khusus game genshin,Performance,1,game
159,buat yang lagi nabung mending sabar dulu sambil nunggu turun harga momen promo akhir tahuntahun baru,Price,1,harga
165,ui nya banyak iklan,Software,1,ui
166,tumben gak ada mode pro video,"Audio, Camera",2,"video, tumben"
173,spek leseluruhan pilih f tp mslh baterai pilih iqo,Battery,1,baterai
176,yah sangat di sayangkan tidak ada bluetooth codec lelc padahal secara hardware dah support loh,Connectivity,1,bluetooth
178,om saya mau tanya brp sisa ram ketika hp pertama diunboxing brp sisa ram ketika aplikasi sudah terinstal termasuk aplikasi game bendmark dll utk buat konten ini apakah poco f adapakai dual antena dimanual book tertera tidak garansi utk lcd mhn dibalas ya team jagat atau kawan yang sudah punya hp poco f terima kasih,"Software, Storage, Audio, Performance, Features",5,"game, ram, lcd, dual, aplikasi"
179,knapa tak direview poco f ultra,Audio,1,knapa
182,ada fitur dual video gk ya di f butuh buat konten kreator mau ganti dari seri redmi insyaallah,"Features, Camera, Connectivity",3,"video, insyaallah, dual"
183,kenapa dalam video rambut nya ada efek efek putih nya bg apakah efek dari kamera poco f terbaru,"Design, Camera",2,"putih, kamera"
185,naksir yang putih mantab bgt,Design,1,putih
190,jelek buang duit gampang overheat klo di pemakaian extra,Features,1,extra
191,pernah pake poco f masalahnya di sinyal hp yg suka hilang sendiri di cek imei gak terdetek bawa ke service center katanya motherboard nya kena apa ada yg senasib pengalaman pake poco nya,Network,1,sinyal
196,berbahagialah yg tahun lalu ambil x pro hdr kamera depan belakang masih yg terbaik,Camera,1,kamera
199,rekomen gak ya f ini untuk gantiin s plus uda lelah s plus nya uda tahun lebih daily usage hanya wa gaming macam efootball atau fc mobile tidak peduli kualitas kamera mohon sarannya saya blm pernah pake hp cina,"Camera, Performance",2,"mobile, kamera"
200,menurut saya ini udah oke banget buat gaming tinggal beli cooling pad aja walaupun ga ada fitur bypass charging,"Features, Battery",2,"bypass, charging"
204,akhirnya gak pake model kamera cilok,"Design, Camera",2,"model, kamera"
210,yg putih lebih aesthetic,Design,1,putih
211,om poco panik ngejatuhin harga pasar banget nyesel ga nyesel gua beli series f khusus buat kalian yg mau hp cuma game doang saat ini tunggu bulan aja ntar juga ada lagi diatasnya harga jual lagi udah kaya motor szk jatoh padahal hp merk mid range rilis barunya kaga pake rem,"Price, Performance",2,"game, harga"
214,saya blm pernah pakai hp dari keluarga xiaomi tp kali ini seperti nya pengen nyoba f ini memang jos sd s gen di tambah desain keren bgt tanpa iklan pulaauto beli seperti nya buat ganti iqoo z g,Design,1,desain
215,aku beli x nfc dari dan tau gak harga juta dan masih awet sampai sekarang dari hempasan anak bayi ku dan sekarang aku mau coba beli baru karena udah lmaa juga memory ny audah gak cukup dengan foto anak seabreg masih gakua sama x atau f,"Features, Camera, Price, Connectivity",4,"foto, nfc, harga"
220,spek tinggi harga murah tapi tahan lama gak hp nya jangan sampai baru setahun dua tahun breakdown hp nya hang hang,Price,1,harga
223,ini ada fitur videolive wallpaper kah,Features,1,fitur
224,tim langsung ngecek batre,Battery,1,batre
227,jack gak ada lagi huhu,"Audio, Network",2,"jack, huhu"
231,youtube local video bisa jam lebih itu maksudnya apa min apakah kondisi layar nyala terus atau gimana krn kalau layar nyala bisa dibilang sot juga jam lebih,"Display, Camera",2,"video, layar"
232,kok pny gw frame rate tetp d super ya main mobil legend ultrany blm kbuka apakh blm update apa gmn ya mhon solusinya,"Software, BuildQuality",2,"frame, update"
233,btw mau tanya emg hp xiaomi keluaran baru skrg termasuk poco f udh gaada iklannya ya di android dan hyper os apa ttp ada iklan tp harus disetting lg biar iklannya gaada,Software,1,android
234,diliatliat desain bump kamera nya agak mirip sama f bedanya di flash nya dan beberapa detail kecil setuju sih desain nya f lebih bagus daripada f,"Design, Camera",2,"kamera, desain"
235,sekarang frame metal seakan jdi salah satu klbihan hpjaman dulu frame metal lumrah bnget klo jaman dlu apa itu plastik,BuildQuality,1,frame
236,jaman dulu hp entry level udah pake frame metal kah,BuildQuality,1,frame
238,dnger iqoo neo pro mau rilis pake zeis kamera,Camera,1,kamera
241,sebenernya udah nonton review yg keluar lebih dulu di lain tempat tp karena sejak saya dapet poco x nfc dr pembahasan yg sangat detail disini saya selalu mampir kesini sebelum beli gadget terutama hp makasih tim jr keep it up,"Connectivity, Features, Network",3,"tempat, nfc"
242,ga ada nfc kang,"Features, Connectivity",2,nfc
243,ada nfc kok,"Features, Connectivity",2,nfc
244,saya lagi cari smartphone baru yang mampu ngecharge super cepat di atas watt seperti hp saya saat ini karna saya suka high mobility tidak mau membuang waktu lama untuk ngecharge sebuah smartphone untuk saat ini maksimal full charger m d saya mau di bwah waktu itu,Performance,1,cepat
245,bisa mbak pakai powerbank v ah dijamin sangat cepat gak sampai menit,"Connectivity, Features, Performance",3,"mbak, cepat"
247,sama x pro soal kamera bagus mana yaa,Camera,1,kamera
248,ijin bertanya baru punya hp yang ada fitur fast charging tapi kok poco f saya gak bisa fast charging ya di indikator baterainya jam lebih keterangan untuk mengisi penuh,"Features, Battery",2,"fitur, baterainya"
250,​ahmadyusuf bawaan bang tapi ngecas bisa sampai jam,"Security, Battery",2,"ahmadyusuf, ngecas"
251,​fhaicalhpnya udah coba direstart bang dinyalakan ulang gw pernah di samsung fast chargingnya ga aktif padahal pake charger ori habis direstart lgsg bisa lagi kemungkinan bug software,"Features, Software",2,"chargingnya, software"
252,​ahmadyusuf sudah berkalikali sih bang di restart di cas dalam kondisi mati tapi ya tetep may kubawa ke service center aja kayanya biar tahu masalahnya,Security,1,ahmadyusuf
254,itu di video hp masih baru ram gb cuman nyisa gb kepakai apa aja itu ram,"Camera, Storage",2,"video, ram"
255,bang buat game sosial media harian mana lebih oke iqoo neo apa poco f,Performance,1,game
263,untuk kameranya apakah bisa untuk ultrasnap menangkap gambar untuk gerakan cepat seperti orang lompat apa lari,Performance,1,cepat
267,ngaco boss liat di marketplace jangan lu samain dengan harga diskon hunting pocer karna ga semua orang beruntung​maulahiburan,Price,1,harga
269,kampret emang poco f pro video ga ada lagi wkwk gua beli kecewa juga,Camera,1,video
274,lah temenku beli samsung a g jatuh sekali pecah tuh layar bagus ya kualitasnya,"Audio, Display",2,"layar, pecah"
276,dari semua seri f worth it yg mana gwa tau ini pertanyaan konyol tapi beda dari masingmasing jenisnya derastis bgt gak,Price,1,worth
283,maunya hp midrange rekaman fhd fps bisa pindah ke semua kamera pasti lebih bermanfaat dan semua kameranya af,"Design, Camera",2,"kamera, maunya"
285,emang king diharga segitu,Price,1,diharga
289,untuk tes game coba yg lgi rame jg bang biar lebih relate kyk delta force yg lgi banyak bgt yg main,Performance,1,game
293,dulu pakai poco f dari tahun skrg si f tombol samping volume power udh mulai susah dipencet lagi mikir mau upgrade tp pas baca di website f itu ada varian standardpro dan ultra sebenarnya bingung di video ini bahasnya yg versi mana ya soalnya antara standard pro dan ultra itu ada perbedaan performa dan harga,"Camera, Audio, Performance, Price, BuildQuality",5,"power, samping, harga, video, performa"
295,bang udah bang move on udah berumur tapi masih aja di aduin sama saudara saudara penerusnya,Display,1,move
296,beli hp baru poco f apa aja yg perlu di lakukan sebelum di gunakan charging dulu berjaam jam atau ada gimna,Battery,1,charging
297,ya charging sampe aja gk perlu berjam,Battery,1,charging
305,blum bisa menaklukkan wuwa gila itu game,Performance,1,game
306,kameranya ada dan support fitur ai ya,Features,1,fitur
308,buat game hok rata kanan gak yaaaa,Performance,1,game
315,sebenernya ada harga ada kualitas itu berlaku untuk barang apapun nah klo kualitas biasa tp harga tinggi itu biasanya jualan brand,Price,1,harga
321,semoga ada flagship killer ram gb internal tera dibawah juta,Storage,1,internal
322,tumben ya jagat ga bahas rog series pdhl gw tunggu reviewnya,Audio,1,tumben
325,jt jdi ragu bli klo buat nyri kmera ad ip scond hrg sgtu,Storage,1,sgtu
326,betul soal camera ya jls di ip dan camera f itu bonus krna bukan fitur andalannya lalu untuk penggunaan jangka panjang kmu pilih mana,Features,1,fitur
327,bang klo upgrade dari f ke f kira worth it kah,Price,1,worth
328,hyper os dari xiaomi selalu ngelag lebih baik ambil iqoo neo banyak bugs system hyper os saya dari poco f sampai f selelu nge bug di mode saku sering ketindis sendiri kalau pas hp lagi di saku hadeeeh,"Software, Storage, Security",3,"hyper, ketindis, system"
333,toko yg direkomendasiin jagat mahal,Price,1,mahal
335,smoga gak ad isu matot dengan performa segila itu di harga jutaan,"Price, Performance",2,"performa, harga"
336,saran dong lebih worth it poco f ini apa samsung a untuk penggunaan jangka panjang masih bingung nihh,Price,1,worth
338,𝒜𝐿𝐸𝒳𝐼𝒮 ui responsive no lag,"Software, Performance",2,lag
339,𝒜𝐿𝐸𝒳𝐼𝒮 punya fitur match replay belajar skill,Features,1,fitur
341,𝒜𝐿𝐸𝒳𝐼𝒮 punya fitur autosave hasil game,"Features, Performance",2,"game, fitur"
343,hp ini price to performance nya gila sih dan hp ini masuk nya ke all rounder malah bukan kaya hp gaming udah dapet sd s gen baterai ip ai layar gede storage gb ufs di harga juta itu bener worth it paling kekurangan nya di kamera sih yg mana menurut gw a punya gw lebih mending dan lebih konsisten hasil nya,"Camera, Storage, Battery, Display, Price",5,"baterai, kamera, layar, harga, storage"
344,all round apaan jelas² kamera b aja gitu ini hp khusus buat yg nyari performa aja sih kalau all round mending samsung a vivo v sama motorolla edge fusion,"Camera, Performance",2,"kamera, performa"
345,jir gw baru beli a g harga beda dikit dapat f tuh yg prosesornya monster,Price,1,harga
346,klo untuk pemain pubg sebaiknya jangan beli ini harga juta grafik cuman mentok di smoot fps sedangkan infinix gt pro yg cuman harga juta udah tembus di smoot fps nyesel gua beli nih hp sehingga saya jual poco x pro poco x pro tembus di fps tapi ini poco f yang jauh lebih mahal malah cuman bisa fps sumpah nyesel banged,"Design, Price",2,"pemain, harga"
351,cobalah poco buat slot memori tambahan juga biar nambah,Storage,1,memori
352,salam dari penonton dari malaysia bangmau nanya kalo warna ini bukankah frame warna silver bangemang punya abg warna hitam frame nya,"Design, Display, BuildQuality",3,"frame, hitam"
353,pake dns ad guard maka semua mslah slesai dari iklan,Software,1,dns
363,saya harap ada lini poco yang lebih ngasih kestabilan daripada melulu soal performa spek bisa diturunin dikit tapi super stabil dari segi performa kamera bahkan suhu hp nya sendiri,"Design, Camera, Performance",3,"kamera, diturunin"
364,itu gunanya xiaomi melahirkan seri poco seri ini dikhususkan utk hape spek performa kalo elu ingin hape yg mengutamakan kestabilan pilih seri redmi kalo poco dibikin khusus utk kestabilan bisa saja poco menjadi pembunuh saudaranya sendiri redmi malah bisa jadi malapetaka bagi xiaomi,Performance,1,performa
365,anjay frame gen semoga semua soc mendukung ini ya dan produsen buka semua untuk semua game jangan yang hoyo hoyo aja lagi selain frame gen kalau bisa ai upscaling nya juga kaya dlss atau kalau nggak pakai ai kaya fsr ae dahh soalnya fitur seperti ini di butuhkan banget buat game game jaman sekarang,"Features, BuildQuality, Performance",3,"game, fitur, frame"
366,setelah menonton video ini dari awal sampai akhir akhirnya saya jadi beli a,Camera,1,video
367,a kalo beli yg baru worth it,Price,1,worth
368,di penutup om ded bilang kebagian dengan harga normal hmm apakah ada potensi untuk ghoib,Price,1,harga
370,sempet nunggu poco f yang desainnya menurut gw bagus di versi china dan pas waktu keluar bocoran desain versi global alhasil gw beli iphone pro deh karna jujur aga kurang suka sama desain poco f versi global,Design,1,aga
372,saya sebenarnya lebih suka ui xiaomi dari samsung tapi smartwatch gak bisa whatsapp call kecuali hp samsung membuat saya galau,Software,1,ui
373,desian yg sy suka mirip poco f tp lb premium yg msh enak dipakai sampe sekarang,Design,1,premium
375,bisabisanya gak ada bypass charging,"Features, Battery",2,"bypass, charging"
376,di menit itu maksudnya aap ya apa kita nggak perlu update sampai jangka waktu tersebut atau bagaimana ya,Software,1,update
377,emang mantap sih video di x pro stabil dan bagus gambarnya,Camera,1,video
378,trauma merek beginian make poco f pemakaian normal mulus tanpa gaming mati total di tahun pemakaian temen yg pake poco f juga ngetawain seminggu kemudian dia kena juga matot dgn ciri sama aokwowk samsung c pro ku aja tahun masih aman aokwaowk cmn lemot aja sekarang jadi beli samsung lagi lah walau harga mahal mending layar bermasalah dari pada mesinnya,"Display, Price",2,"layar, harga"
380,​baguswira ciri nye detik sebelum matot sih layar hp tiba kek antena tv gak ada siaranbersemut lalu terestart pas udh nyala setelah restart mati lagi dan selamanya mati dan gak bisa selamatin data,Display,1,layar
385,beli hp dengan chipset monster yang dimainin cuma mobile legend wkwkwk,Performance,1,mobile
392,wah opsi bagus nih buat gantiin xiaomi note pro pro gw yg sudah renta yang buat ngantor aja lag nya ampunn sebenernya udah ada redmi note pro g tapi ga puas sama mediatek dimensity pengen belik ke snapd aja,"Software, Storage, Performance",3,"opsi, lag"
393,gw suka xiomi karna murah dulu ya tpi pgn f pro tpi dana mentok x p tpi gpp lah syukuri aja dulu make note pro note pro trakhir note pro habisa otu singgah poco m dan skrg x p enak banget sih cuma gaenaknya gw ragu mau upgrade hypersos nya wkwkwk,Price,1,murah
394,guys minta saran dong gw ada budget di jt an gw bingung mau ambil poco f atau samsung a yang gw perluin itu buat bisa dipake tahun ke depan kamera yang oke pemakaian harian non profesional build quality gaming ringan cuma pubg ml aja gw bingung antara kedua itu mau ambil samsung tapi spek poco lebih gahar namun rada minus di kamera videonya yang ga se stabil a buat segi build quality jujur gw buta banget sama hp china di range jt an belum pernah pale soalnya,"Design, Camera, Performance",3,"gahar, kamera, ringan"
395,kalau cari camera yg ok ya samsung a lah perekaman video lebih bagus kamera ultrawidenya jg lebih ok tapi kalau jarang pakai ultrawide cuma pakai main camera aja lebih sering pakai buat photography aja pakai poco f aja harusnya cukup sih ntar tinggal install gcam aja beres buat gantiin mi camera samsung a kameranya kalau yg benar dalam kondisi low light yg benar gelap banget hasil fotonya ngga gitu ok pernah coba foto garden by the bay pas malam hari saat tree light show masih bagusan hasil foto pakai f dibandingkan samsung a tapi kalau kondisi pencahayaannya cukup sensor mp ultrawidenya samsung a ngga bisa bohong lebih bagus dari sensor mp ultrawidenya poco kebetulan user poco f samsung a dan lagi co poco f buat gantiin poco f poco f masih jadi daily driver utama karena performa masih ok dan sudah terbiasa pakai uinya xiaomi samsung a cuma dipakai kalau pas butuh kamera saat traveling pas lg nonton film layar amolednya samsung lebih nyaman di mata,"Software, Camera, Performance, Display, Security, Features",6,"foto, install, garden, fotonya, amolednya, performa"
396,​kurniawanteddy perkara layar dan kamera gw setuju sih bang walaupun reso kalah sama f tapi entah layarnya sumsang lebih nyaman tapi ya pertimbangan saya itu kan a rilis tahun lalu dan dijamin x update osandro dan x update security cmiiw ya berarti kalau saya ambil a jatah update nya udah ada yang kepake dong denger bulan ini mau stop produksi ya katanya nah kalau saya ambil baru a apa jatah update nya diitung dari tahun kemarin atau tahun sekarang bang,"Software, Display, Camera",3,"layar, kamera, cmiiw"
401,telat dikit kena goreng tu harga,Price,1,harga
409,iya youtuber cupu uda tes overheat boros batre meskipun mah cuma gimik,Battery,1,batre
410,brarti gue bari beli f ga terlalu nyesel sii kalo gt mah ​baribari,Audio,1,brarti
411,finally upgrade yang worth dari f,Price,1,worth
416,saya udah lama pakai poco x gt sejak pertama keluar niat mau ganti tapi sayangnya pengalaman gue sama miui terlalu banyak bloatware dan banyak iklannya kayak aplikasi cleaner video photos apa aja lah ada iklannya jadi ragu mau pakai poco lagi padahal cukup bagus lho,"Software, Camera",2,"video, aplikasi"
417,gak ada bypass charging sampah,"Features, Battery",2,"bypass, charging"
435,asli ini video lucu banget wkwk pas main alexis barusan next upload harus lebih lucu dari ini ya,Camera,1,video
436,kucing tetangga pun ikutan kaget garagara suara ketawa gua ditemani alexis lanjut upload terus ya bang,Audio,1,ikutan
441,mending iqoo lah juta punya chip bypass charger batre gede ui bersih gak ada iklanbug batre gede,"Features, Software, Battery",3,"bypass, bersih, batre"
443,hp tergilaaaaaadi thn di hrg segitu mh dgn segudang fitur,Features,1,fitur
445,deal breaker nya gak ada e sim karena bulan april kemarin ada wacana dari komdigi disuruh upgrade dari sim fisik ke e sim,Network,1,fisik
447,percuma mau pake processor apa juga osnya lemooooooooooot lemooooooooooot beraaaaaaaaaat jangan beli,Software,1,osnya
448,bisa colok hdmi untuk direct display ke tv,"Connectivity, Display, Network",3,"display, hdmi, colok"
450,kalo yg hitam di depan lebih mirip ip,"Design, Display",2,hitam
452,om nanti hbs review balikin y ke aku,Network,1,hbs
453,ganti game bng ke gta definitive edition,Performance,1,game
456,minta saran dong worth ga ganti dari rog phone sd gen ke hp ini penggunaan hanya untuk nge game doang krn daily driver uda ada hp lain,"Price, Performance",2,"game, worth"
460,​nanasuryanay z poco allrounder dari mana jelasjelas dari tahun ke tahun fokus poco cuma di soc ram storage,Storage,1,ram
461,​​erickaamaya iqoo neo pake chipset s gen chip v batre juga mah bypass charging di lazada juta di lazada juta,"Features, Battery",2,"bypass, batre"
462,bahas camera hp yang bagus om dari harga sejutaan sampe jutaan,Price,1,harga
467,diakalin modul maisk dikit rapih nih performa dapet value jt± serasa hp jt an,Performance,1,performa
468,harga poco f di online dan offlinesama apa beda bg,Price,1,harga
486,juli loncing di jakarta gen pro cuma beda di tele gen nya dapet update sampe tahun,Software,1,update
487,ga ada audio jack skip dulu,Audio,1,audio
494,saran bang klo bagian pengetesan suara spiker suara hpnya di dengerin ke penonton penasaran banget sama suara spikernya gimana,Audio,1,spiker
495,kelemahan poco biasanya dr build dan kamera tp kali ini masuk kategori oke lohmenarik jgcuma ada lgada bom waktunya ga y,Camera,1,kamera
496,wah dari dulu saya menantikan layar bongsor enak di saku seperti mimax layar gede sangat enak dilihat bagi yang terbiasa dengan hp display besar karena untuk yang kurang penglihatan atau pakai kacamata poco f ini pilihannya dengan upgrade segudang xiaomi poco memang awesome jarang hp yang harganya bersahabat layar gede amoled lagi bravo xiaomi poco f,"Software, Display, Price, Connectivity",4,"harganya, bersahabat, display, amoled"
498,bahkan jagat review pun terkeojeot dengan harganya gilee,Price,1,harganya
499,masih tren ya kedepan usb a to usb c buat charger,Connectivity,1,usb
501,flagship killer tapi video terguncang gitu,Camera,1,video
502,masih bertahan dengan f udah mau setahun lebih habis ganti dari x pro dan saya rasa loncatan gap nya lumayan kerasa buat pemakaian harian dan fungsional multitasking masih sangat mumpuni sebenarnya x pro juga masih aman buat kebutuhan harian tapi batre udah gak sanggup mungkin buat user f atau pribadi saya sendiri buat upgrade mending ke f atau f nantinya atau nunggu sampe hp udah keteteran baru ganti,Battery,1,batre
503,pas buka mi video kok dipotong ya,Camera,1,video
505,lagi² audio jack dibuang maaf jadi gk minat,Audio,1,audio
506,video bokeh hanya ada di x pro doang ya disini gaada,Camera,1,video
509,biasanya xiaomi ksh os yg ga kalah fitur dgn hape lain tp knp di hyperos utk fitur double tap aja ga becus ya mau lock screen aja ga bisa,"Features, Software, Display",3,"screen, hyperos, fitur"
510,klw aku sih lebih ke kamera,Camera,1,kamera
512,worth it gak sih ip pindah ke hp ini,Price,1,worth
514,udah lama nunggu ini rilis dan setelah compare keduanya akhirnya mutusin ambil f karena desain body dan frame metalnya keliatan lebih berkelas sangat menarik minat untuk gw yg utamain sampul ketimbang isi buku walaupun sebenernya isinya sedikit lebih unggul iqoo yaa balik lagi lah ada plus minus wkwk,"Design, BuildQuality",2,"frame, desain"
