comment_id,original_comment,aspects,sentiments,confidences,aspect_count
37,kalau setiap hari di geber main game gitu mempercepat pengurangan kesehatan baterai nggak sih bang,"Performance, Battery","negative, negative","0.648, 0.685",2
38,saran aja untuk test gaming mobil mendingan pakai grid autosport disana grafiknya bisa disetting diluar game kalau di dalam kurang bagus,Performance,neutral,0.973,1
39,nonton pake poco f satu minggu pake mantap sih emang performa nya minus nya cuma berat doang ini hp wkwk dan besar layar nya,"Display, Performance","positive, negative","0.704, 0.995",2
40,rekam video sambil jalan masih kedutan heran,Camera,neutral,0.997,1
43,klo dari f upgrade ke f worth gak,Price,positive,0.603,1
53,buat saya pribadi pengguna samsung bertahun tahun saya ucapkan selamat tinggal samsung yg pelit chipset dan internal memori saya dan istri sudah jadi pengguna pocof dan anak anak sudah pakai infinix semua good bye samsung,Storage,negative,0.994,1
58,buat harian bagus ngga si mau beli tapi biar bisa main game juga,Performance,positive,0.563,1
61,walaupun udh beli nih hp tapi gw rela nambah k buat bypass charging sayangnya ga ada,"Features, Battery","neutral, neutral","0.968, 0.972",2
63,om dedy boleh ngasih masukan nggaboleh dong coba game bolakarena banyak jg yg main game ini yg lagi nyari hp,Performance,negative,0.533,1
64,btull efootball kn gmana nih performa hp ni kalau main efootball,Performance,negative,0.568,1
66,kameranya jelek untuk harga sgtu setara infinix harga jt,"Storage, Price","negative, negative","0.997, 0.998",2
67,kalau sy mengandalkan kualitas fitur baterai badak jangka panjang walaupun kedua speknya sama sy pilih redmi turbo pro tb jika tdk ada slot micro sd dari cn dibandingkan poco f jika budgetnya mampu,"Features, Battery","neutral, neutral","0.880, 0.897",2
71,bang coba pas gaming tes mlbb di ganti sm hok honor of kings itu game lebih berat di banding mlbb bang cumasaran,Performance,negative,0.994,1
74,bang coba cek f nya di sudut layar di sisi emang kurang responsif apa gimana saya coba test pake touch screen test yang di antutu susah sentuh di sudut layar,Display,neutral,0.933,1
78,stabilizer masuk ke hardware atau software,"Software, Display","neutral, neutral","0.992, 0.995",2
79,ada yg bilang kurang ini kurang itu ya gak bisalah anjir masa mau paket komplit gitu auto nambah hargalah,Features,negative,0.921,1
80,ex user poco f emang kenceng sih gila tapi yang bikin ga nyaman ui nya sok ngatur ga demen gue muter video lgsung disuruh pake mi video buka pdf lgsung disuruh pake mi browser lockscreen disuggest live lock mulu notif dimatiin ntar bisa nyala lagi getapps bisa nyala sendiri ikllan dimana setelah setahun pake ga kuat sama ui nya yang berasa ngatur user akhirnya pindah ke brand lain yg ui nya bersih personal preference kadang kenyamanan diatas kecepatan,"Software, Camera, Performance","negative, negative, negative","0.998, 0.705, 0.813",3
84,kamera bagus ini atau f bang soal performa saya g begitu pertimbangankan karena bukan maniak game sy hanya butuh yg all rounder terutama bagian kamera suatu saat dibutuhkan sudah ready to use tidak shaky depan belakang,"Camera, Performance","neutral, neutral","0.875, 0.912",2
85,bang berarti ini hp udah bisa support ray tracing di minecraft,Display,neutral,0.997,1
86,dri f upgrade ke tpro terus downgrade ke f gegara motor jebol cmn gw g ekspek kameranya mantep njir sekilas ga jauh beda ama tpro cmn bedanya di fitur leicabokehnya lbh mantep tpro,Features,positive,0.989,1
88,padahal pro video bisa ngurangi jitter pas record video diatas motor,Camera,negative,0.970,1
90,lah sama buat libas game yg sekarang aja masih enteng ini backdoor aja sama frame doang paling yg jamuran,"Design, BuildQuality, Performance","negative, neutral, negative","0.996, 0.862, 0.512",3
92,sama bang x gt ini otw beli f lagi dalam pengiriman,Network,neutral,0.990,1
97,overall puas bangett pake hp ini poco f memang the best,Display,positive,0.997,1
98,kapan give away bang hp saya masih ram gb nih bang,Storage,neutral,0.776,1
101,kok t pro saya belum bisa genshin fps ya fitur game boosternya belum kebuka,"Features, Performance","neutral, negative","0.976, 0.587",2
102,t pro aja gapunya chip tambahan kalo mau kek gitu harus ada chip tambahan kayak di iqoo neo atau iqoo seri angka kalo kasusnya poco ini emang beda padahal dia gak ada chip tambahan tapi bisa kalo menurut ku poco f ini fitur fps nya dibebankan di chip s gen nya,Features,neutral,0.970,1
103,​​faahmiiichip tambahan di iqoo itu kbnykn buat ai aja bro yg bikin dia bisa fps itu jelas chipset utamanya s gen gw blg gini karena makai iqoo neo sama f,Display,neutral,0.717,1
108,lucu sih di beberapa komunitas karna skor antutunya kurang dari claim brandnya sampek dibawa ke service center,"Display, Connectivity","negative, negative","0.585, 0.585",2
111,bg benar kah suara dari poco f suara speaker atas nya bindeng gak seimbang yang bawah suara lebih besar,Audio,negative,0.842,1
113,kalo aku kok dpt yg seimbang ya,Audio,positive,0.641,1
118,tanpa main game bisa berapa lama yah daya tahan baterai nya ada yang tau kah,"Performance, Battery","negative, neutral","0.762, 0.706",2
120,ini hp klo di cas dalam keadaan mati emg selalu nyala sendiri kah kak jagat atao ada settingannya saya gw nemu soalnya trs nyari tutor nya jg gada gt cara sepaya ttp mati saat pengisian daya,"Network, Performance, Battery","neutral, neutral, negative","0.651, 0.651, 0.862",3
123,poco mantapsampe skarang pake x nfc awet allhmdllh pemakain rapih,"Features, Connectivity","positive, positive","0.968, 0.968",2
124,sangat jelas suka banget kalo jagatriview ngeriviewtpi ternyata infinix murah jga sudah bisa wireless charging kayak smartphone flagship,"Price, Battery","positive, neutral","0.760, 0.986",2
125,cuma kameran ngga ois video pasti gempa dan prosesor bumi dan langit sama snapdragon ini bisa main game nintendo switch klo helio punya infinix buka loading emulator nya aja nge bug,"Camera, Performance","negative, neutral","0.980, 0.907",2
126,gak sampai tiga tahun masalah bateri,Audio,negative,0.915,1
127,update selanjutnya dari poco f kudu dilimit ini bahaya kalau overheat terus terusan keawetan hardware jadi taruhannya,Software,neutral,0.992,1
128,andai aja support wireless charging,Battery,neutral,0.990,1
129,bisa flip video ga pas lagi recorded video,Camera,negative,0.627,1
132,resiko body kaca dari zaman dinasti ming juga gitu bro overheat,BuildQuality,negative,0.875,1
133,dinasti ming,BuildQuality,negative,0.590,1
135,bantu jawab bang lgi bingung nyari hp allround game efootball doang ambil hp poco x pro atau poco f ini,Performance,neutral,0.975,1
140,sayang banget belum punya bypass charging padahal pendahulunya punya,"Features, Battery","negative, neutral","0.793, 0.936",2
141,kamera nya masih jedag jedug tuh,Camera,negative,0.925,1
142,info apakah ada fitur matot nya kah mau ambil f takutnya seperti pendahulu banyakan matot,Features,neutral,0.994,1
146,poco f apa ada fitur kalo dicas penuh bakal berhenti otomatis,Features,neutral,0.893,1
147,sayangnya gak ada adanya cuma batas charging sampai tapi apa cuma perasaan gw dulu di miui ada ya cmiiw,"Software, Battery","negative, neutral","0.537, 0.713",2
149,pérmintaan sétélah saya mélihat pérforma gaming poco f yang gahar ini saya jadi ké pikiran gimana jadinya kalau ada chipset khusus g gaminggahargarang seperti sd elite g yang pérformanya jauh lébih buas lagi saya ada konsep singkatnya di sini mungkin ini bisa jadi evolusi bérikutnya di dunia gaming mobile,Performance,neutral,0.989,1
150,kedepannya untuk test gaming pake wuthering waves bang sebagai patokan genshin udah terlalu ringan,"Design, Connectivity","negative, negative","0.998, 0.478",2
156,di poco f ku kok gk ada yang namanya smart frame rate ama super resolusi ya,"Display, BuildQuality","positive, positive","0.698, 0.937",2
158,khusus game genshin,Performance,neutral,0.541,1
159,buat yang lagi nabung mending sabar dulu sambil nunggu turun harga momen promo akhir tahuntahun baru,Price,neutral,0.516,1
165,ui nya banyak iklan,Software,neutral,0.504,1
166,tumben gak ada mode pro video,"Audio, Camera","negative, neutral","0.744, 0.991",2
173,spek leseluruhan pilih f tp mslh baterai pilih iqo,Battery,neutral,0.990,1
176,yah sangat di sayangkan tidak ada bluetooth codec lelc padahal secara hardware dah support loh,Connectivity,negative,0.891,1
178,om saya mau tanya brp sisa ram ketika hp pertama diunboxing brp sisa ram ketika aplikasi sudah terinstal termasuk aplikasi game bendmark dll utk buat konten ini apakah poco f adapakai dual antena dimanual book tertera tidak garansi utk lcd mhn dibalas ya team jagat atau kawan yang sudah punya hp poco f terima kasih,"Software, Storage, Audio, Performance, Features","neutral, neutral, neutral, neutral, neutral","0.989, 0.997, 0.980, 0.995, 0.980",5
179,knapa tak direview poco f ultra,Audio,neutral,0.589,1
182,ada fitur dual video gk ya di f butuh buat konten kreator mau ganti dari seri redmi insyaallah,"Features, Camera, Connectivity","neutral, neutral, neutral","0.994, 0.996, 0.970",3
183,kenapa dalam video rambut nya ada efek efek putih nya bg apakah efek dari kamera poco f terbaru,"Design, Camera","negative, neutral","0.338, 0.991",2
185,naksir yang putih mantab bgt,Design,positive,0.997,1
190,jelek buang duit gampang overheat klo di pemakaian extra,Features,neutral,0.783,1
191,pernah pake poco f masalahnya di sinyal hp yg suka hilang sendiri di cek imei gak terdetek bawa ke service center katanya motherboard nya kena apa ada yg senasib pengalaman pake poco nya,Network,neutral,0.993,1
196,berbahagialah yg tahun lalu ambil x pro hdr kamera depan belakang masih yg terbaik,Camera,neutral,0.998,1
199,rekomen gak ya f ini untuk gantiin s plus uda lelah s plus nya uda tahun lebih daily usage hanya wa gaming macam efootball atau fc mobile tidak peduli kualitas kamera mohon sarannya saya blm pernah pake hp cina,"Camera, Performance","neutral, neutral","0.648, 0.993",2
200,menurut saya ini udah oke banget buat gaming tinggal beli cooling pad aja walaupun ga ada fitur bypass charging,"Features, Battery","neutral, neutral","0.892, 0.996",2
204,akhirnya gak pake model kamera cilok,"Design, Camera","negative, negative","0.968, 0.982",2
210,yg putih lebih aesthetic,Design,positive,0.881,1
211,om poco panik ngejatuhin harga pasar banget nyesel ga nyesel gua beli series f khusus buat kalian yg mau hp cuma game doang saat ini tunggu bulan aja ntar juga ada lagi diatasnya harga jual lagi udah kaya motor szk jatoh padahal hp merk mid range rilis barunya kaga pake rem,"Price, Performance","negative, negative","0.998, 0.806",2
214,saya blm pernah pakai hp dari keluarga xiaomi tp kali ini seperti nya pengen nyoba f ini memang jos sd s gen di tambah desain keren bgt tanpa iklan pulaauto beli seperti nya buat ganti iqoo z g,Design,positive,0.995,1
215,aku beli x nfc dari dan tau gak harga juta dan masih awet sampai sekarang dari hempasan anak bayi ku dan sekarang aku mau coba beli baru karena udah lmaa juga memory ny audah gak cukup dengan foto anak seabreg masih gakua sama x atau f,"Features, Camera, Price, Connectivity","neutral, negative, neutral, neutral","0.994, 0.727, 0.923, 0.994",4
220,spek tinggi harga murah tapi tahan lama gak hp nya jangan sampai baru setahun dua tahun breakdown hp nya hang hang,Price,positive,0.542,1
223,ini ada fitur videolive wallpaper kah,Features,neutral,0.992,1
224,tim langsung ngecek batre,Battery,neutral,0.991,1
227,jack gak ada lagi huhu,"Audio, Network","negative, negative","0.977, 0.977",2
231,youtube local video bisa jam lebih itu maksudnya apa min apakah kondisi layar nyala terus atau gimana krn kalau layar nyala bisa dibilang sot juga jam lebih,"Display, Camera","neutral, neutral","0.992, 0.996",2
232,kok pny gw frame rate tetp d super ya main mobil legend ultrany blm kbuka apakh blm update apa gmn ya mhon solusinya,"Software, BuildQuality","negative, neutral","0.851, 0.698",2
233,btw mau tanya emg hp xiaomi keluaran baru skrg termasuk poco f udh gaada iklannya ya di android dan hyper os apa ttp ada iklan tp harus disetting lg biar iklannya gaada,Software,neutral,0.984,1
234,diliatliat desain bump kamera nya agak mirip sama f bedanya di flash nya dan beberapa detail kecil setuju sih desain nya f lebih bagus daripada f,"Design, Camera","neutral, neutral","0.982, 0.693",2
235,sekarang frame metal seakan jdi salah satu klbihan hpjaman dulu frame metal lumrah bnget klo jaman dlu apa itu plastik,BuildQuality,negative,0.738,1
236,jaman dulu hp entry level udah pake frame metal kah,BuildQuality,neutral,0.578,1
238,dnger iqoo neo pro mau rilis pake zeis kamera,Camera,neutral,0.992,1
241,sebenernya udah nonton review yg keluar lebih dulu di lain tempat tp karena sejak saya dapet poco x nfc dr pembahasan yg sangat detail disini saya selalu mampir kesini sebelum beli gadget terutama hp makasih tim jr keep it up,"Connectivity, Features, Network","neutral, neutral, positive","0.956, 0.956, 0.906",3
242,ga ada nfc kang,"Features, Connectivity","negative, negative","0.897, 0.897",2
243,ada nfc kok,"Features, Connectivity","positive, positive","0.630, 0.630",2
244,saya lagi cari smartphone baru yang mampu ngecharge super cepat di atas watt seperti hp saya saat ini karna saya suka high mobility tidak mau membuang waktu lama untuk ngecharge sebuah smartphone untuk saat ini maksimal full charger m d saya mau di bwah waktu itu,Performance,positive,0.958,1
245,bisa mbak pakai powerbank v ah dijamin sangat cepat gak sampai menit,"Connectivity, Features, Performance","neutral, neutral, positive","0.679, 0.679, 0.992",3
247,sama x pro soal kamera bagus mana yaa,Camera,positive,0.709,1
248,ijin bertanya baru punya hp yang ada fitur fast charging tapi kok poco f saya gak bisa fast charging ya di indikator baterainya jam lebih keterangan untuk mengisi penuh,"Features, Battery","neutral, neutral","0.994, 0.891",2
250,​ahmadyusuf bawaan bang tapi ngecas bisa sampai jam,"Security, Battery","neutral, neutral","0.993, 0.918",2
251,​fhaicalhpnya udah coba direstart bang dinyalakan ulang gw pernah di samsung fast chargingnya ga aktif padahal pake charger ori habis direstart lgsg bisa lagi kemungkinan bug software,"Features, Software","neutral, negative","0.674, 0.916",2
252,​ahmadyusuf sudah berkalikali sih bang di restart di cas dalam kondisi mati tapi ya tetep may kubawa ke service center aja kayanya biar tahu masalahnya,Security,neutral,0.793,1
254,itu di video hp masih baru ram gb cuman nyisa gb kepakai apa aja itu ram,"Camera, Storage","neutral, negative","0.914, 0.989",2
255,bang buat game sosial media harian mana lebih oke iqoo neo apa poco f,Performance,neutral,0.995,1
263,untuk kameranya apakah bisa untuk ultrasnap menangkap gambar untuk gerakan cepat seperti orang lompat apa lari,Performance,neutral,0.989,1
267,ngaco boss liat di marketplace jangan lu samain dengan harga diskon hunting pocer karna ga semua orang beruntung​maulahiburan,Price,positive,0.823,1
269,kampret emang poco f pro video ga ada lagi wkwk gua beli kecewa juga,Camera,negative,0.871,1
274,lah temenku beli samsung a g jatuh sekali pecah tuh layar bagus ya kualitasnya,"Audio, Display","positive, positive","0.994, 0.994",2
276,dari semua seri f worth it yg mana gwa tau ini pertanyaan konyol tapi beda dari masingmasing jenisnya derastis bgt gak,Price,positive,0.928,1
283,maunya hp midrange rekaman fhd fps bisa pindah ke semua kamera pasti lebih bermanfaat dan semua kameranya af,"Design, Camera","positive, positive","0.986, 0.993",2
285,emang king diharga segitu,Price,positive,0.495,1
289,untuk tes game coba yg lgi rame jg bang biar lebih relate kyk delta force yg lgi banyak bgt yg main,Performance,neutral,0.990,1
293,dulu pakai poco f dari tahun skrg si f tombol samping volume power udh mulai susah dipencet lagi mikir mau upgrade tp pas baca di website f itu ada varian standardpro dan ultra sebenarnya bingung di video ini bahasnya yg versi mana ya soalnya antara standard pro dan ultra itu ada perbedaan performa dan harga,"Camera, Audio, Performance, Price, BuildQuality","negative, neutral, neutral, neutral, neutral","0.949, 0.996, 0.713, 0.943, 0.713",5
295,bang udah bang move on udah berumur tapi masih aja di aduin sama saudara saudara penerusnya,Display,negative,0.995,1
296,beli hp baru poco f apa aja yg perlu di lakukan sebelum di gunakan charging dulu berjaam jam atau ada gimna,Battery,neutral,0.995,1
297,ya charging sampe aja gk perlu berjam,Battery,negative,0.916,1
305,blum bisa menaklukkan wuwa gila itu game,Performance,positive,0.500,1
306,kameranya ada dan support fitur ai ya,Features,neutral,0.963,1
308,buat game hok rata kanan gak yaaaa,Performance,neutral,0.942,1
315,sebenernya ada harga ada kualitas itu berlaku untuk barang apapun nah klo kualitas biasa tp harga tinggi itu biasanya jualan brand,Price,positive,0.963,1
321,semoga ada flagship killer ram gb internal tera dibawah juta,Storage,negative,0.895,1
322,tumben ya jagat ga bahas rog series pdhl gw tunggu reviewnya,Audio,neutral,0.926,1
325,jt jdi ragu bli klo buat nyri kmera ad ip scond hrg sgtu,Storage,negative,0.870,1
326,betul soal camera ya jls di ip dan camera f itu bonus krna bukan fitur andalannya lalu untuk penggunaan jangka panjang kmu pilih mana,Features,neutral,0.866,1
327,bang klo upgrade dari f ke f kira worth it kah,Price,negative,0.439,1
328,hyper os dari xiaomi selalu ngelag lebih baik ambil iqoo neo banyak bugs system hyper os saya dari poco f sampai f selelu nge bug di mode saku sering ketindis sendiri kalau pas hp lagi di saku hadeeeh,"Software, Storage, Security","negative, negative, negative","0.991, 0.991, 0.991",3
333,toko yg direkomendasiin jagat mahal,Price,negative,0.720,1
335,smoga gak ad isu matot dengan performa segila itu di harga jutaan,"Price, Performance","negative, neutral","0.990, 0.824",2
336,saran dong lebih worth it poco f ini apa samsung a untuk penggunaan jangka panjang masih bingung nihh,Price,positive,0.827,1
338,𝒜𝐿𝐸𝒳𝐼𝒮 ui responsive no lag,"Software, Performance","positive, positive","0.928, 0.988",2
339,𝒜𝐿𝐸𝒳𝐼𝒮 punya fitur match replay belajar skill,Features,neutral,0.994,1
341,𝒜𝐿𝐸𝒳𝐼𝒮 punya fitur autosave hasil game,"Features, Performance","neutral, neutral","0.994, 0.992",2
343,hp ini price to performance nya gila sih dan hp ini masuk nya ke all rounder malah bukan kaya hp gaming udah dapet sd s gen baterai ip ai layar gede storage gb ufs di harga juta itu bener worth it paling kekurangan nya di kamera sih yg mana menurut gw a punya gw lebih mending dan lebih konsisten hasil nya,"Camera, Storage, Battery, Display, Price","negative, neutral, neutral, neutral, positive","0.945, 0.967, 0.994, 0.955, 0.908",5
344,all round apaan jelas² kamera b aja gitu ini hp khusus buat yg nyari performa aja sih kalau all round mending samsung a vivo v sama motorolla edge fusion,"Camera, Performance","negative, neutral","0.884, 0.839",2
345,jir gw baru beli a g harga beda dikit dapat f tuh yg prosesornya monster,Price,negative,0.824,1
346,klo untuk pemain pubg sebaiknya jangan beli ini harga juta grafik cuman mentok di smoot fps sedangkan infinix gt pro yg cuman harga juta udah tembus di smoot fps nyesel gua beli nih hp sehingga saya jual poco x pro poco x pro tembus di fps tapi ini poco f yang jauh lebih mahal malah cuman bisa fps sumpah nyesel banged,"Design, Price","negative, negative","0.991, 0.997",2
351,cobalah poco buat slot memori tambahan juga biar nambah,Storage,neutral,0.994,1
352,salam dari penonton dari malaysia bangmau nanya kalo warna ini bukankah frame warna silver bangemang punya abg warna hitam frame nya,"Design, Display, BuildQuality","neutral, neutral, neutral","0.995, 0.855, 0.419",3
353,pake dns ad guard maka semua mslah slesai dari iklan,Software,neutral,0.978,1
363,saya harap ada lini poco yang lebih ngasih kestabilan daripada melulu soal performa spek bisa diturunin dikit tapi super stabil dari segi performa kamera bahkan suhu hp nya sendiri,"Design, Camera, Performance","positive, neutral, positive","0.994, 0.920, 0.632",3
364,itu gunanya xiaomi melahirkan seri poco seri ini dikhususkan utk hape spek performa kalo elu ingin hape yg mengutamakan kestabilan pilih seri redmi kalo poco dibikin khusus utk kestabilan bisa saja poco menjadi pembunuh saudaranya sendiri redmi malah bisa jadi malapetaka bagi xiaomi,Performance,neutral,0.991,1
365,anjay frame gen semoga semua soc mendukung ini ya dan produsen buka semua untuk semua game jangan yang hoyo hoyo aja lagi selain frame gen kalau bisa ai upscaling nya juga kaya dlss atau kalau nggak pakai ai kaya fsr ae dahh soalnya fitur seperti ini di butuhkan banget buat game game jaman sekarang,"Features, BuildQuality, Performance","neutral, positive, negative","0.978, 0.867, 0.937",3
366,setelah menonton video ini dari awal sampai akhir akhirnya saya jadi beli a,Camera,neutral,0.993,1
367,a kalo beli yg baru worth it,Price,positive,0.785,1
368,di penutup om ded bilang kebagian dengan harga normal hmm apakah ada potensi untuk ghoib,Price,neutral,0.959,1
370,sempet nunggu poco f yang desainnya menurut gw bagus di versi china dan pas waktu keluar bocoran desain versi global alhasil gw beli iphone pro deh karna jujur aga kurang suka sama desain poco f versi global,Design,neutral,0.958,1
372,saya sebenarnya lebih suka ui xiaomi dari samsung tapi smartwatch gak bisa whatsapp call kecuali hp samsung membuat saya galau,Software,neutral,0.643,1
373,desian yg sy suka mirip poco f tp lb premium yg msh enak dipakai sampe sekarang,Design,positive,0.995,1
375,bisabisanya gak ada bypass charging,"Features, Battery","neutral, negative","0.728, 0.558",2
376,di menit itu maksudnya aap ya apa kita nggak perlu update sampai jangka waktu tersebut atau bagaimana ya,Software,neutral,0.574,1
377,emang mantap sih video di x pro stabil dan bagus gambarnya,Camera,positive,0.991,1
378,trauma merek beginian make poco f pemakaian normal mulus tanpa gaming mati total di tahun pemakaian temen yg pake poco f juga ngetawain seminggu kemudian dia kena juga matot dgn ciri sama aokwowk samsung c pro ku aja tahun masih aman aokwaowk cmn lemot aja sekarang jadi beli samsung lagi lah walau harga mahal mending layar bermasalah dari pada mesinnya,"Display, Price","negative, negative","0.998, 0.937",2
380,​baguswira ciri nye detik sebelum matot sih layar hp tiba kek antena tv gak ada siaranbersemut lalu terestart pas udh nyala setelah restart mati lagi dan selamanya mati dan gak bisa selamatin data,Display,negative,0.633,1
385,beli hp dengan chipset monster yang dimainin cuma mobile legend wkwkwk,Performance,neutral,0.787,1
392,wah opsi bagus nih buat gantiin xiaomi note pro pro gw yg sudah renta yang buat ngantor aja lag nya ampunn sebenernya udah ada redmi note pro g tapi ga puas sama mediatek dimensity pengen belik ke snapd aja,"Software, Storage, Performance","negative, negative, negative","0.888, 0.888, 0.996",3
393,gw suka xiomi karna murah dulu ya tpi pgn f pro tpi dana mentok x p tpi gpp lah syukuri aja dulu make note pro note pro trakhir note pro habisa otu singgah poco m dan skrg x p enak banget sih cuma gaenaknya gw ragu mau upgrade hypersos nya wkwkwk,Price,positive,0.996,1
394,guys minta saran dong gw ada budget di jt an gw bingung mau ambil poco f atau samsung a yang gw perluin itu buat bisa dipake tahun ke depan kamera yang oke pemakaian harian non profesional build quality gaming ringan cuma pubg ml aja gw bingung antara kedua itu mau ambil samsung tapi spek poco lebih gahar namun rada minus di kamera videonya yang ga se stabil a buat segi build quality jujur gw buta banget sama hp china di range jt an belum pernah pale soalnya,"Design, Camera, Performance","positive, positive, positive","0.888, 0.979, 0.926",3
395,kalau cari camera yg ok ya samsung a lah perekaman video lebih bagus kamera ultrawidenya jg lebih ok tapi kalau jarang pakai ultrawide cuma pakai main camera aja lebih sering pakai buat photography aja pakai poco f aja harusnya cukup sih ntar tinggal install gcam aja beres buat gantiin mi camera samsung a kameranya kalau yg benar dalam kondisi low light yg benar gelap banget hasil fotonya ngga gitu ok pernah coba foto garden by the bay pas malam hari saat tree light show masih bagusan hasil foto pakai f dibandingkan samsung a tapi kalau kondisi pencahayaannya cukup sensor mp ultrawidenya samsung a ngga bisa bohong lebih bagus dari sensor mp ultrawidenya poco kebetulan user poco f samsung a dan lagi co poco f buat gantiin poco f poco f masih jadi daily driver utama karena performa masih ok dan sudah terbiasa pakai uinya xiaomi samsung a cuma dipakai kalau pas butuh kamera saat traveling pas lg nonton film layar amolednya samsung lebih nyaman di mata,"Software, Camera, Performance, Display, Security, Features","positive, neutral, positive, positive, positive, positive","0.712, 0.838, 0.712, 0.712, 0.712, 0.712",6
396,​kurniawanteddy perkara layar dan kamera gw setuju sih bang walaupun reso kalah sama f tapi entah layarnya sumsang lebih nyaman tapi ya pertimbangan saya itu kan a rilis tahun lalu dan dijamin x update osandro dan x update security cmiiw ya berarti kalau saya ambil a jatah update nya udah ada yang kepake dong denger bulan ini mau stop produksi ya katanya nah kalau saya ambil baru a apa jatah update nya diitung dari tahun kemarin atau tahun sekarang bang,"Software, Display, Camera","neutral, neutral, positive","0.956, 0.993, 0.974",3
401,telat dikit kena goreng tu harga,Price,positive,0.471,1
409,iya youtuber cupu uda tes overheat boros batre meskipun mah cuma gimik,Battery,negative,0.996,1
410,brarti gue bari beli f ga terlalu nyesel sii kalo gt mah ​baribari,Audio,positive,0.933,1
411,finally upgrade yang worth dari f,Price,positive,0.985,1
416,saya udah lama pakai poco x gt sejak pertama keluar niat mau ganti tapi sayangnya pengalaman gue sama miui terlalu banyak bloatware dan banyak iklannya kayak aplikasi cleaner video photos apa aja lah ada iklannya jadi ragu mau pakai poco lagi padahal cukup bagus lho,"Software, Camera","neutral, neutral","0.793, 0.933",2
417,gak ada bypass charging sampah,"Features, Battery","negative, negative","0.937, 0.937",2
435,asli ini video lucu banget wkwk pas main alexis barusan next upload harus lebih lucu dari ini ya,Camera,positive,0.977,1
436,kucing tetangga pun ikutan kaget garagara suara ketawa gua ditemani alexis lanjut upload terus ya bang,Audio,negative,0.969,1
441,mending iqoo lah juta punya chip bypass charger batre gede ui bersih gak ada iklanbug batre gede,"Features, Software, Battery","negative, negative, positive","0.740, 0.973, 0.894",3
443,hp tergilaaaaaadi thn di hrg segitu mh dgn segudang fitur,Features,positive,0.875,1
445,deal breaker nya gak ada e sim karena bulan april kemarin ada wacana dari komdigi disuruh upgrade dari sim fisik ke e sim,Network,neutral,0.932,1
447,percuma mau pake processor apa juga osnya lemooooooooooot lemooooooooooot beraaaaaaaaaat jangan beli,Software,negative,0.995,1
448,bisa colok hdmi untuk direct display ke tv,"Connectivity, Display, Network","neutral, neutral, neutral","0.997, 0.996, 0.997",3
450,kalo yg hitam di depan lebih mirip ip,"Design, Display","neutral, neutral","0.923, 0.721",2
452,om nanti hbs review balikin y ke aku,Network,neutral,0.985,1
453,ganti game bng ke gta definitive edition,Performance,neutral,0.867,1
456,minta saran dong worth ga ganti dari rog phone sd gen ke hp ini penggunaan hanya untuk nge game doang krn daily driver uda ada hp lain,"Price, Performance","neutral, negative","0.878, 0.888",2
460,​nanasuryanay z poco allrounder dari mana jelasjelas dari tahun ke tahun fokus poco cuma di soc ram storage,Storage,neutral,0.980,1
461,​​erickaamaya iqoo neo pake chipset s gen chip v batre juga mah bypass charging di lazada juta di lazada juta,"Features, Battery","neutral, neutral","0.996, 0.951",2
462,bahas camera hp yang bagus om dari harga sejutaan sampe jutaan,Price,positive,0.994,1
